LOC105842657	0	BHWX01000017.1	-	15574062	15680147	15577810,15578616,15579415,15580530,15581131,15583968,15592662,15618308,15618915,15619456,15622057,15626297,15627517,	15578455,15579215,15579893,15580909,15581471,15592507,15618204,15618717,15619282,15621940,15626229,15627432,15679418,
LOC101740941	1	BHWX01000023.1	+	18050084	18087705	18050280,18064513,18067825,18068868,18069493,18070569,18071712,18072452,18072777,18073936,18075395,18076247,18077592,18078522,18079195,18079727,	18064302,18067672,18068826,18069358,18070394,18071455,18072243,18072662,18073798,18075260,18076045,18077499,18078380,18079085,18079580,18087277,
GeneID_692758	1	BHWX01000016.1	+	360463	374595	360617,361328,362663,363352,363755,365172,366883,367333,367800,368328,369202,371199,371976,372274,	361211,362471,363250,363635,364967,366755,367210,367636,368200,369024,371054,371741,372063,374069,
GeneID_100187554	1	BHWX01000001.1	-	16870445	16954352	16870746,16872897,16875117,16875797,16876493,16881839,16884212,16884499,16886086,16886833,16887642,16889733,16891151,16916357,16916800,16918841,16937866,16952893,	16872790,16875010,16875675,16876278,16881726,16884099,16884411,16885903,16886748,16887573,16889580,16891076,16916195,16916697,16918684,16937756,16952652,16953890,
LOC105841250	0	BHWX01000015.1	-	5619524	5632110	5620050,5620342,5620981,5621199,5624941,5627586,5627911,5628124,5628442,5629318,5630319,5631504,	5620135,5620446,5621064,5621677,5626591,5627667,5627991,5628274,5629258,5630174,5631344,5631939,
LOC101736631	1	BHWX01000004.1	-	15782313	15804040	15785676,15786844,15787183,15788352,15789082,15790745,15792336,15793890,15794391,15795081,15796001,15796869,15798004,15799129,15799675,15800290,15801269,15801899,15802720,15803387,15803768,	15786722,15786999,15788174,15788954,15790602,15791825,15792445,15794305,15794926,15795828,15796737,15797808,15798898,15799531,15800100,15801096,15801787,15802547,15803065,15803566,15803848,
LOC101738773	0	BHWX01000019.1	-	4491146	4492528	4492177,4492314,	4492272,4492416,
LOC101739809	1	BHWX01000017.1	+	4202379	4224057	4202513,4203213,4203527,4204678,4204936,4205172,4208307,4208957,4209478,4209815,4210093,4210399,4210809,4211524,4212164,4214165,4214365,	4203015,4203433,4203669,4204829,4205044,4208135,4208391,4209036,4209567,4209937,4210277,4210672,4211367,4212023,4213854,4214246,4215472,
LOC101736938	1	BHWX01000015.1	-	5951140	5955338	5954423,	5954635,
LOC101744527	0	BHWX01000011.1	-	11056167	11060157	11056977,11057385,11057881,11059100,	11057056,11057656,11058934,11059795,
LOC101740790	0	BHWX01000004.1	-	8174562	8177119	8175023,8176176,8176864,	8175962,8176262,8176978,
LOC119630562	1	BHWX01000025.1	+	2781051	2789392	2781179,2782016,2782623,2783002,2785272,2788134,	2781801,2782236,2782918,2785070,2788050,2789077,
LOC119630360	1	BHWX01000023.1	+	327509	334755	328027,	333016,
LOC101736519	1	BHWX01000022.1	-	16043688	16053996	16045125,16045510,16046199,16046713,16048355,16049628,	16045354,16046116,16046576,16048254,16049469,16052865,
LOC101739239	1	BHWX01000019.1	-	4062011	4065204	4062237,4063668,	4062311,4064023,
LOC101743373	0	BHWX01000009.1	+	11548194	11551114	11548375,11549016,11549423,	11548809,11549245,11549861,
LOC101737967	1	BHWX01000022.1	+	9518078	9524364	9518402,9518580,9518765,9519308,9519570,9520112,9520472,9521186,9521631,9522496,9522983,	9518483,9518663,9519131,9519425,9520007,9520196,9521048,9521528,9522313,9522869,9523290,
LOC692416	0	BHWX01000025.1	-	3256885	3266638	3257799,3260744,3261323,	3260643,3261110,3266505,
LOC101738578	0	BHWX01000018.1	-	4086064	4087034	4086464,	4086698,
LOC101737221	0	BHWX01000023.1	-	16406844	16457156	16408791,16409623,16410523,16411118,16412307,16413396,16414191,16414999,16416064,16417818,16437432,	16409474,16410395,16410938,16412158,16413095,16414095,16414857,16415628,16417707,16437130,16455277,
LOC101738087	1	BHWX01000012.1	-	17230829	17245174	17231041,17231694,17232288,17233058,17233568,17234748,17236820,17237442,17237800,17238329,17238963,17240386,17241008,17241528,17242262,17243124,17243957,	17231500,17232147,17232877,17233357,17234588,17236692,17237248,17237712,17238193,17238711,17240153,17240829,17241352,17242105,17243013,17243766,17244768,
LOC101738384	0	BHWX01000011.1	-	6544057	6793660	6548739,6549212,6549986,6551027,6552505,6552909,6553408,6554189,6555570,6557758,6559561,6560240,6561185,6562187,6563261,6563997,6564574,6566893,6568441,6572416,6573283,6588303,6590647,6609909,6625643,6633307,6635812,6642855,6663932,6743756,	6549115,6549927,6550857,6551375,6552595,6553168,6553634,6555433,6557568,6559300,6560100,6561002,6561967,6562995,6563837,6564465,6566742,6568300,6572183,6573189,6588081,6590536,6609714,6625458,6633207,6634933,6642788,6663542,6743326,6793331,
LOC101737055	0	BHWX01000002.1	+	1854655	1858441	1854805,	1857285,
LOC101746420	0	BHWX01000025.1	-	6102524	6104260	6103613,	6103919,
LOC101742788	1	BHWX01000012.1	-	9437595	9470387	9438718,9441008,9445769,	9439421,9445727,9470143,
GeneID_692745	0	BHWX01000004.1	+	4247583	4268594	4247682,4257627,4257635,4257738,4265588,4265628,4265775,	4257476,4257630,4257637,4265477,4265591,4265630,4267019,
LOC101742046	1	BHWX01000020.1	-	1627014	1638561	1627633,1628831,1629029,1629809,1630677,1631843,1633532,1634727,1635992,1637309,1637805,	1628716,1628919,1629660,1630593,1631728,1633403,1634653,1635865,1636644,1637674,1638176,
LOC101740255	1	BHWX01000002.1	-	2532214	2533151	2532708,	2532999,
LOC105842534	1	BHWX01000026.1	-	4873692	4876480	4875724,4876016,	4875794,4876162,
LOC101744856	0	BHWX01000016.1	-	1595270	1600019	1596238,1596608,1598479,	1596511,1598352,1599693,
LOC101742609	0	BHWX01000017.1	+	9295765	9302479	9296007,9297352,9298084,9298623,9299534,9300474,9301332,	9297218,9297926,9298502,9299453,9300307,9301112,9302205,
GeneID_100233162	0	BHWX01000022.1	-	5428983	5440123	5429543,5429821,5430324,5430523,5430722,5431608,5431895,5435552,	5429674,5430188,5430413,5430627,5431486,5431702,5435365,5439878,
LOC101740243	1	BHWX01000005.1	+	14074734	14083976	14074825,14075058,14075431,14076211,14077336,14079565,	14074961,14075283,14075900,14077065,14079025,14080770,
GeneID_101739460	1	BHWX01000018.1	+	8263732	8265432	8263866,8264941,	8264335,8265075,
LOC110384825	1	BHWX01000003.1	-	1214332	1219282	1214993,1215885,1216728,1217892,	1215722,1216610,1217703,1219172,
GeneID_100379470	1	BHWX01000011.1	-	12494618	12495559	12495054,	12495503,
LOC101739841	0	BHWX01000004.1	-	11980910	11985439	11981333,11982577,11984188,	11982461,11984014,11984454,
LOC101741697	1	BHWX01000026.1	-	6797425	6809304	6797676,6799364,6800522,6801788,6802810,6803740,6804447,6805460,6806001,	6799185,6800371,6801599,6802747,6803547,6804262,6805350,6805912,6808902,
LOC101742844	1	BHWX01000004.1	-	5145523	5155293	5147158,5149958,5150286,	5147335,5150085,5154953,
LOC101736191	1	BHWX01000016.1	+	8122940	8139457	8123101,8126889,8127443,8128585,8131003,8131894,8133071,8133180,8135403,8136773,8137993,	8126682,8127239,8128463,8130829,8131760,8133055,8133126,8135320,8136627,8137828,8139272,
LOC101744001	0	BHWX01000003.1	+	11627982	11631149	11628377,	11629077,
LOC101740287	0	BHWX01000013.1	-	5969187	5975865	5973333,5974609,	5974330,5975241,
LOC101736946	1	BHWX01000006.1	-	9347407	9360061	9348762,	9359667,
LOC101740690	0	BHWX01000021.1	+	7126433	7128617	7126602,	7126883,
LOC119630067	1	BHWX01000020.1	+	814704	821939	814855,820162,	820045,821682,
LOC101735567	1	BHWX01000004.1	-	10205776	10210475	10205992,10206883,10207694,10208312,10208566,	10206708,10207510,10208153,10208392,10210005,
LOC101742311	0	BHWX01000010.1	+	2985208	2988931	2985746,2986014,2986468,2987132,2987893,	2985867,2986248,2986938,2987615,2988695,
LOC100174850	1	BHWX01000001.1	-	15602986	15614732	15605860,15606578,15611556,	15606308,15611275,15614482,
GeneID_692662	1	BHWX01000015.1	+	2869100	2873721	2869231,2869719,2870446,2871090,2871689,2872458,	2869605,2870297,2871002,2871558,2872336,2873514,
LOC101744352	0	BHWX01000016.1	-	11948224	11961628	11949775,11955902,11956512,11958394,11959259,11959713,11960359,	11955764,11956336,11958183,11959112,11959551,11960169,11961428,
LOC101747156	1	BHWX01000025.1	+	8414649	8418044	8415177,8415504,8416287,8416538,8416731,	8415368,8416163,8416414,8416621,8417270,
LOC101742079	0	BHWX01000001.1	+	13872240	13877648	13872439,13873916,13874925,13875573,	13873746,13874719,13875400,13876621,
LOC101737971	1	BHWX01000005.1	+	6435680	6438485	6436738,6437773,6438026,	6437246,6437858,6438153,
LOC101736125	1	BHWX01000024.1	-	7715123	7717468	7715369,7715684,7716840,	7715503,7716374,7717246,
LOC105841347	0	BHWX01000019.1	+	14372427	14388779	14372573,14373622,14376885,14377963,14379540,14381147,14383845,14384728,14386344,14387449,14388003,	14373488,14376748,14377782,14379365,14381021,14383737,14384562,14386149,14387297,14387826,14388453,
LOC101744508	1	BHWX01000016.1	-	9708146	9734880	9709268,9709869,9713334,9715055,9715927,9718536,9719781,9723434,9724639,9730073,9731061,9732641,	9709681,9713161,9714968,9715741,9718425,9719677,9723357,9724518,9729905,9730785,9732453,9734640,
LOC110384695	0	BHWX01000013.1	+	8116288	8117412	8116472,	8116559,
LOC101742448	1	BHWX01000020.1	+	11919164	11923797	11919342,11919974,11921103,	11919838,11920931,11922066,
LOC101741207	1	BHWX01000006.1	+	10472771	10810594	10472987,10541870,10598027,10645759,10708219,10751711,10752712,10755627,10759889,10761514,10808163,10809581,10810096,10810424,	10541812,10597955,10645579,10707993,10751555,10752653,10755539,10759767,10761443,10807977,10809391,10809889,10810177,10810502,
LOC101745829	1	BHWX01000015.1	-	281289	289598	282081,282377,282738,286016,286384,287626,288274,	282172,282447,285788,286242,287533,288049,289255,
LOC101739531	1	BHWX01000005.1	-	18112320	18118152	18113668,18114813,18115911,18116509,18117238,	18114637,18115782,18116318,18117101,18117858,
