ENSDARG00000042370	1	chr17	-	27971144	27976031	27972332,	27975916,
ENSDARG00000097746	1	chr16	-	45087810	45094599	45088222,	45094241,
ENSDARG00000078991	1	chr13	-	11674764	11679486	11678572,	11679124,
ENSDARG00000096908	0	chr6	+	34028532	34036231	34028650,34031978,34033642,34035635,	34031864,34033285,34035561,34035738,
ENSDARG00000093957	1	chr5	-	67463027	67471375	67463298,67464273,67465912,67467414,	67464209,67465803,67467302,67471114,
ENSDARG00000093686	1	chr22	-	5923190	5933844	5923965,5926490,5927817,5928564,5932790,	5926344,5927509,5928250,5932488,5933686,
ENSDARG00000090836	1	chr20	+	23657860	23665759	23657915,23658958,23659366,	23658791,23659039,23664635,
ENSDARG00000101567	1	chr22	+	1092479	1109547	1093223,1102314,1105186,	1102165,1105096,1105332,
ENSDARG00000101917	0	chr7	-	67817256	67842997	67817416,67830126,67830358,67833115,67835401,	67830044,67830284,67832943,67835234,67842534,
ENSDARG00000097503	0	chr17	+	20605013	20611312	20605379,20609007,20610248,20610576,	20608914,20610146,20610472,20610825,
ENSDARG00000101700	1	chr22	+	1110855	1120875	1111083,	1120305,
ENSDARG00000063150	1	chr7	+	528593	624852	529852,569000,577748,584366,598194,605086,	568819,577577,584277,597872,605008,622290,
ENSDARG00000068100	1	chr8	+	10561922	10659477	10562635,10619982,	10619833,10659350,
ENSDARG00000058593	1	chr16	+	7242610	7260345	7243019,7249055,7250655,7250809,7252923,7254824,7258260,	7248987,7250586,7250766,7252776,7254711,7258202,7259683,
ENSDARG00000089622	1	chr6	+	40482330	40499799	40482453,40482748,40484227,40484893,40485093,40485287,40491086,40491269,40491437,40494670,40494844,40495038,40496881,40497115,	40482670,40484177,40484835,40485022,40485219,40491003,40491190,40491344,40494533,40494742,40494929,40496759,40496973,40499151,
ENSDARG00000057536	1	chr9	-	22075528	22076368	22075859,22076191,	22075949,22076303,
ENSDARG00000088699	0	chr17	-	23820450	23895026	23824862,23825150,23857929,23861748,	23824988,23857827,23861623,23893795,
ENSDARG00000089794	1	chr24	+	7153628	7158301	7153667,7154476,7154688,7157327,	7154418,7154631,7157283,7157416,
ENSDARG00000027088	1	chr24	-	17027310	17029374	17027743,17027940,17028745,17028906,17029127,	17027839,17028632,17028827,17028988,17029216,
ENSDARG00000014806	1	chr9	-	38029475	38042939	38030849,38033435,38033685,38036482,38036984,38039797,	38033257,38033564,38036394,38036966,38039680,38042713,
ENSDARG00000013203	1	chr1	-	56943492	56948694	56944389,	56948577,
ENSDARG00000095756	1	chr2	+	49799470	49801011	49799687,49799923,49800169,	49799783,49800072,49800312,
ENSDARG00000012892	0	chr21	-	44709280	44731865	44709741,44711424,44712646,44719543,44723562,	44711328,44712556,44719429,44723452,44731417,
ENSDARG00000012016	1	chr1	-	38398696	38415158	38399229,38402649,38402967,38412889,38413374,38414840,	38402486,38402891,38412793,38413268,38414717,38415030,
ENSDARG00000054162	1	chr2	-	37775655	37797577	37775991,37779084,37782630,37782815,37783899,37784989,37785163,37785846,37786988,37787633,37790386,37793094,	37778392,37782504,37782760,37783759,37784802,37785062,37785746,37786826,37787467,37789886,37792943,37796537,
ENSDARG00000007671	1	chr21	-	20742876	20765338	20745556,20745946,20749506,20750396,20750855,20752614,20754138,20757876,	20745877,20749416,20750255,20750671,20752445,20754003,20757791,20764963,
ENSDARG00000063341	0	chr2	-	6042048	6051836	6042272,6042412,6044983,6046330,6048056,6049420,6051700,	6042347,6044906,6046299,6047975,6049364,6051617,6051783,
ENSDARG00000043673	0	chr20	+	9355912	9421263	9355998,9396691,9408289,9412711,9412907,	9396530,9408223,9412604,9412827,9418718,
ENSDARG00000077717	0	chr11	-	1396301	1400507	1396471,1399014,1399505,	1398950,1399453,1400289,
ENSDARG00000024116	1	chr5	+	28271412	28279364	28271521,28275832,	28275668,28277817,
ENSDARG00000008788	1	chr23	+	39558508	39597901	39558557,39565027,39580584,39580824,39581039,39584056,39586126,39587351,39587529,39590196,39591839,39593813,	39564916,39580459,39580750,39580901,39583933,39586051,39587239,39587451,39590109,39591511,39593714,39594121,
ENSDARG00000022045	1	chr25	-	19356587	19433244	19361062,19363668,19374232,19374453,19374710,19420879,	19363439,19363945,19374316,19374628,19420778,19432935,
ENSDARG00000078271	1	chr10	+	6697369	6702812	6697575,6699468,6700015,6700312,6700479,6700965,6701223,6701476,	6698986,6699626,6700215,6700429,6700584,6701047,6701347,6701636,
ENSDARG00000079632	0	chr1	-	44707054	44710937	44707201,44707416,44709619,44709862,	44707305,44709530,44709761,44710785,
ENSDARG00000013174	1	chr19	+	44009473	44036792	44009655,44009759,44009893,44026216,44029617,44031135,44031749,44032538,44033915,	44009733,44009841,44026156,44029505,44031040,44031614,44032460,44033791,44036353,
ENSDARG00000011743	0	chr10	+	17747880	17759878	17748078,17751030,17753349,17753644,17753920,17754465,17756148,17756458,17756786,17757913,	17750549,17753206,17753521,17753761,17754286,17754603,17756255,17756599,17757843,17758395,
ENSDARG00000027602	1	chr15	+	45994123	46132181	45994238,46034397,46108934,46111542,46116552,	46034310,46108554,46111022,46116098,46131698,
ENSDARG00000103484	0	chr16	+	42471455	42472987	42471528,	42471845,
ENSDARG00000056498	1	chr24	-	38109799	38110779	38110510,	38110664,
ENSDARG00000057460	1	chr9	-	22091161	22092089	22091466,22091909,	22091667,22091997,
ENSDARG00000041203	1	chr7	-	742517	753231	743647,745612,748936,751282,751622,752225,	745521,748846,751163,751529,752153,753006,
ENSDARG00000009885	1	chr3	-	29655677	29671653	29656426,29656679,29659028,29660573,29662552,29663727,	29656505,29658934,29660447,29662344,29663550,29670561,
ENSDARG00000098937	0	chr7	-	67845942	67894046	67846198,67849713,67858680,67862051,67862288,67865252,67870354,67876908,67879705,67888233,	67849560,67858491,67861805,67862140,67865156,67870232,67876678,67879475,67888066,67893893,
