Adhr	0	2L	+	14615552	14618902	14615643,14616437,14616907,14617643,14618474,	14616303,14616503,14616978,14618070,14618526,
Or19b	1	X	+	20094398	20095767	20095134,20095648,	20095288,20095702,
CG9572	0	X	+	20148124	20155514	20148261,20150236,20150836,20151026,20154814,	20150062,20150598,20150945,20154198,20155099,
CG9577	1	X	+	20166673	20168080	20166816,20167119,20167815,	20166957,20167191,20167882,
CG9578	0	X	+	20170222	20171526	20170363,20170758,20171065,	20170424,20170846,20171130,
CG9581	0	X	-	20168042	20169981	20169416,	20169474,
Rab35	1	X	-	20155766	20159872	20157836,20158269,	20157970,20158896,
Or19a	1	X	-	20141819	20143188	20141884,20142298,	20141938,20142452,
CG12655	0	X	-	19958393	19959403	19958900,	19959301,
alpha-Cat	1	3L	-	23318646	23338100	23319002,23319177,23319474,23325823,23325956,23326760,23327645,23329398,23330089,23331015,23334740,	23319061,23319234,23325642,23325889,23326688,23327494,23328714,23329886,23330698,23334364,23337875,
CG33217	0	3L	+	23126025	23132209	23126118,23126400,23127251,23127489,23128370,23130654,23131350,	23126200,23126717,23127313,23128260,23130510,23131189,23131408,
CG32819	1	X	-	21617889	21621104	21618025,21618819,21619567,21620043,	21618096,21618980,21619691,21620716,
CG32857	1	X	-	21615449	21617617	21616126,21617434,	21617178,21617494,
CG32820	1	X	-	21611797	21615239	21611933,21612727,21613475,21613951,	21612004,21612888,21613599,21614624,
CG33502	1	X	-	21609357	21611526	21610034,21611342,	21611086,21611402,
CG17450	1	X	-	21605884	21608920	21606632,21607383,21607859,	21606796,21607507,21608532,
GCS2alpha	1	X	-	21600502	21605264	21601274,21602829,21603730,21604592,	21601344,21602981,21604463,21605152,
cin	0	X	+	255674	258469	255824,256641,256940,257427,257642,258080,	255881,256762,256999,257480,257982,258142,
CG3777	0	X	+	279703	350504	279757,343833,347707,348238,349324,	343692,346149,348080,348647,349444,
CG12470	0	X	+	307684	308935	307892,	308090,
Or1a	1	X	+	315123	316566	315628,316378,	315775,316489,
y	0	X	+	356509	361245	356917,	359617,
CG3156	1	X	+	487878	490725	488362,488628,489076,489424,490228,	488422,488874,489143,489485,490302,
svr	1	X	+	496446	509072	499450,500608,502220,502766,502936,504785,506242,506531,507806,	499849,501985,502287,502836,504668,504916,506308,506599,507869,
arg	0	X	+	509435	528028	509716,510113,510361,526601,	509910,510175,526502,527559,
CG17896	1	X	-	490787	493495	492628,	493388,
CG18273	0	X	-	482777	487581	483045,483828,484246,484965,487403,	483268,483884,484310,485028,487465,
CG3038	0	X	-	243954	245856	245346,	245412,
vnd	1	X	+	582121	598151	591951,594306,	593648,596356,
CG13369	1	X	+	623468	624765	623734,624344,	623796,624407,
Mybbp1A	0	X	+	629773	633633	630209,630644,631983,	630273,630703,632044,
su(sable)	0	X	+	635890	643760	636279,638720,639016,641017,641202,	638333,638781,639720,641078,641297,
CG13367	0	X	+	644761	646386	645913,	645990,
CG5254	1	X	+	750347	758719	756506,	757805,
Rbf	1	X	-	797090	801479	797692,798142,799013,799647,800065,800316,800517,	797762,798278,799316,799711,800128,800378,800597,
CG13360	1	X	-	787855	790089	788527,788903,	788592,789472,
RpL22	1	X	-	762560	765130	762991,764922,	764302,765084,
CG13361	0	X	-	752011	753653	752235,	752314,
CG13362	0	X	-	749241	751301	750714,750834,	750773,751152,
Hmt4-20	0	X	-	648483	656033	653238,654096,	653370,655380,
RpL36	0	X	-	628338	629483	628686,628878,	628751,629382,
CG13364	1	X	-	624757	625203	625105,	625166,
CG11663	0	X	+	894482	895200	894517,	894603,
MED22	1	X	+	928139	928860	928327,928485,	928384,928550,
TRAM	0	X	+	935232	937822	935838,	936330,
CG3021	0	X	+	1026791	1028290	1027546,	1027635,
CG14630	1	X	+	1031496	1033165	1032110,	1032423,
su(w[a])	1	X	+	1012779	1046040	1033401,1041403,1042432,1043421,1044210,1044589,1044901,1045099,	1040982,1042260,1043213,1043491,1044268,1044650,1044971,1045155,
CDC45L	0	X	-	1028291	1030556	1029364,	1029417,
CG11638	0	X	-	1013984	1026703	1015079,1015349,1016246,1016708,	1015140,1015469,1016521,1026514,
TfIIA-S-2	1	X	-	1011101	1011643	1011392,	1011474,
CG3703	0	X	-	942474	945773	942796,944096,	943302,944396,
CG3704	1	X	-	939170	940805	939676,940086,	939733,940152,
CG14627	0	X	+	1181620	1183502	1181801,	1182102,
CG14626	0	X	+	1184778	1188585	1185087,1187126,	1186759,1187851,
CG14625	0	X	+	1199546	1203157	1199671,1200847,	1200625,1200928,
CG11381	0	X	+	1203777	1205433	1203879,	1203934,
CG32812	1	X	+	1287290	1288945	1287934,	1287992,
fs(1)N	0	X	+	1322513	1329438	1322714,1324809,1324997,1325185,1327014,1327277,	1322773,1324868,1325055,1325244,1327069,1327338,
Naa30A	1	X	+	1342106	1344770	1343214,1343535,	1343290,1343779,
Tsp2A	0	X	+	1346553	1348143	1346679,	1347269,
CG14770	0	X	+	1369249	1370176	1369374,	1369613,
Lrpprc2	1	X	-	1457175	1460617	1458201,	1458263,
CG14785	1	X	-	1455215	1457054	1455695,1455949,	1455750,1456023,
CG3719	0	X	-	1378885	1380480	1379372,	1380138,
DAAM	1	X	-	1289713	1322362	1291344,1291568,1291787,1291986,1292257,1293016,1293257,1294286,1295936,1309900,1316161,	1291405,1291626,1291844,1292052,1292321,1293080,1293318,1295010,1309859,1316075,1322200,
CG11403	1	X	-	1236873	1239884	1237707,1237963,	1237766,1238028,
eIF4E7	1	X	-	1158599	1162389	1160132,	1162286,
CG14778	1	X	+	1467493	1470614	1467617,1469953,1470097,1470339,	1469805,1470015,1470157,1470402,
pck	1	X	+	1470666	1472325	1470795,1471063,1471348,1471603,	1470868,1471140,1471408,1471658,
CG14780	1	X	+	1472522	1473727	1472816,1473170,	1472876,1473236,
rush	1	X	+	1478552	1481420	1480220,	1481008,
dor	1	X	+	1665052	1668451	1665411,1666132,1667612,1667825,	1665474,1666187,1667674,1667888,
b6	0	X	+	1686624	1690187	1687317,1688574,1688769,1689123,	1688481,1688649,1688902,1689180,
CG3740	0	X	-	1668406	1669297	1668744,	1668808,
CG14795	0	X	-	1512227	1512803	1512357,1512595,	1512413,1512661,
sta	0	X	-	1481797	1483413	1482480,1482915,	1482673,1483258,
Rab27	1	X	-	1473884	1476974	1474510,1474892,	1474675,1476256,
CG32808	1	X	-	1468693	1469817	1469098,	1469161,
CG32806	0	X	+	1789566	1790418	1789679,	1789730,
MED18	0	X	+	1865909	1866887	1866138,1866495,	1866209,1866563,
CG14803	0	X	+	1868870	1872408	1869242,1869878,	1869298,1869944,
Vps26	1	X	+	1873853	1876474	1874281,	1874361,
CG14805	0	X	+	1877317	1879077	1878197,	1878255,
CG14806	0	X	+	1880282	1881432	1880623,1880946,	1880683,1881020,
mRpL16	0	X	+	1890256	1891482	1890395,1890543,	1890478,1890613,
mip130	1	X	+	1908239	1920318	1908355,	1916977,
CG11596	0	X	+	1927683	1930517	1927919,1928580,1929170,1929384,1929711,	1928334,1929001,1929244,1929454,1929773,
CG3587	0	X	+	1940307	1941536	1940651,1941056,	1940710,1941124,
CG4045	0	X	-	2074795	2075900	2074971,2075139,2075618,	2075038,2075207,2075669,
CG14054	0	X	-	2065273	2066359	2065703,2065891,2066088,	2065758,2065945,2066149,
CG4281	0	X	-	2062313	2065142	2062891,2064488,2064820,	2062947,2064547,2064874,
Sik2	1	X	-	2055310	2061915	2056025,2057767,2057923,2058265,2059418,2059761,2060028,2060844,	2056120,2057829,2057984,2058321,2059475,2059965,2060099,2061622,
PIG-K	0	X	-	2007911	2009364	2008068,2008289,2008461,2008631,	2008129,2008351,2008514,2008710,
eIF2Bepsilon	1	X	-	1920166	1922874	1920767,1921115,1922469,1922667,	1920829,1921181,1922543,1922731,
CG32801	0	X	-	1902082	1903177	1902462,	1902622,
trr	1	X	-	1881313	1889950	1882248,1882501,1882685,1883337,1883941,	1882319,1882556,1882742,1883417,1884007,
Pgam5	1	X	-	1872400	1873565	1872906,	1872973,
Pex5	0	X	-	1866832	1869061	1868714,	1868787,
